,loop_start,iss_cords,city_cords,seconds_passed
0,2023-09-22 13:22:15.374902,"(42.4633, 27.237)","(43.20738, 27.91666)",5511
1,2023-09-22 13:22:15.374902,"(42.4986, 27.306)","(43.20738, 27.91666)",5512
2,2023-09-22 13:22:15.374902,"(42.5337, 27.376)","(43.20738, 27.91666)",5513
3,2023-09-22 13:22:15.374902,"(42.5689, 27.445)","(43.20738, 27.91666)",5514
4,2023-09-22 13:22:15.374902,"(42.6039, 27.515)","(43.20738, 27.91666)",5515
5,2023-09-22 13:22:15.374902,"(42.639, 27.584)","(43.20738, 27.91666)",5516
6,2023-09-22 13:22:15.374902,"(42.674, 27.654)","(43.20738, 27.91666)",5517
7,2023-09-22 13:22:15.374902,"(42.7089, 27.724)","(43.20738, 27.91666)",5518
8,2023-09-22 13:22:15.374902,"(42.7438, 27.794)","(43.20738, 27.91666)",5519
9,2023-09-22 13:22:15.374902,"(42.7786, 27.864)","(43.20738, 27.91666)",5520
10,2023-09-22 13:22:15.374902,"(42.8134, 27.934)","(43.20738, 27.91666)",5521
11,2023-09-22 13:22:15.374902,"(42.8482, 28.004)","(43.20738, 27.91666)",5522
12,2023-09-22 13:22:15.374902,"(42.8829, 28.074)","(43.20738, 27.91666)",5523
13,2023-09-22 13:22:15.374902,"(42.9175, 28.144)","(43.20738, 27.91666)",5524
14,2023-09-22 13:22:15.374902,"(42.9521, 28.215)","(43.20738, 27.91666)",5525
15,2023-09-22 13:22:15.374902,"(42.9866, 28.285)","(43.20738, 27.91666)",5526
16,2023-09-22 13:22:15.374902,"(43.0211, 28.356)","(43.20738, 27.91666)",5527
17,2023-09-22 13:22:15.374902,"(43.0556, 28.426)","(43.20738, 27.91666)",5528
18,2023-09-22 13:22:15.374902,"(43.09, 28.497)","(43.20738, 27.91666)",5529
19,2023-09-22 13:22:15.374902,"(43.1244, 28.568)","(43.20738, 27.91666)",5530
20,2023-09-22 13:22:15.374902,"(43.1587, 28.638)","(43.20738, 27.91666)",5531
21,2023-09-22 13:22:15.374902,"(43.1929, 28.709)","(43.20738, 27.91666)",5532
22,2023-09-22 13:22:15.374902,"(43.2271, 28.78)","(43.20738, 27.91666)",5533
23,2023-09-22 13:22:15.374902,"(43.2613, 28.851)","(43.20738, 27.91666)",5534
24,2023-09-22 13:22:15.374902,"(43.2954, 28.923)","(43.20738, 27.91666)",5535
25,2023-09-22 13:22:15.374902,"(43.3294, 28.994)","(43.20738, 27.91666)",5536
26,2023-09-22 13:22:15.374902,"(43.3634, 29.065)","(43.20738, 27.91666)",5537
